"","food","kalescale","nd","protein","fiber","calcium","iron","magnesium","phosphorous","potassium","sodium","zinc","copper","manganese","selenium","vitc","thiamin","riboflavin","niacin","pantothenicacid","vitb6","folate","vitb12","vita","vite","vitd","vitk"
"2963","COLLARDS,RAW",93,16.2457113731916,0.18875,0.5,0.725,0.0815972222222222,0.2109375,0.078125,0.190178571428571,0.0221354166666667,0.04375,0.071875,1.028125,0.0580357142857143,1.83854166666667,0.1125,0.238970588235294,0.1159375,0.0834375,0.2578125,1.0078125,0,3.136875,0.336309523809524,0,17.07421875
"3603","ARUGULA,RAW",93,16.2445180900798,0.2064,0.256,0.64,0.324444444444444,0.47,0.208,0.421714285714286,0.045,0.125333333333333,0.152,0.642,0.0171428571428571,1,0.117333333333333,0.202352941176471,0.061,0.1748,0.146,0.97,0,1.8984,0.0819047619047619,0,5.43
"3041","LETTUCE,RED LEAF,RAW",92,16.1498512235963,0.16625,0.225,0.20625,0.416666666666667,0.1875,0.175,0.333928571428571,0.0651041666666667,0.0833333333333333,0.0875,0.634375,0.133928571428571,0.385416666666667,0.266666666666667,0.283088235294118,0.1003125,0.09,0.3125,0.5625,0,9.365,0.0446428571428571,0,10.9609375
"3036","LETTUCE,COS OR ROMAINE,RAW",92,16.1271769188824,0.144705882352941,0.494117647058824,0.194117647058824,0.316993464052288,0.205882352941176,0.176470588235294,0.415126050420168,0.0196078431372549,0.0901960784313725,0.141176470588235,0.455882352941177,0.0336134453781513,0.392156862745098,0.282352941176471,0.231833910034602,0.0920588235294118,0.0835294117647059,0.217647058823529,2,0,10.2470588235294,0.0364145658263305,0,7.53676470588235
"974","TURKEY,LIVER,ALL CLASSES,RAW",91,15.854366924713,0.2853125,0,0.015625,0.388020833333333,0.046875,0.21796875,0.0477678571428571,0.0426432291666667,0.175520833333333,0.337109375,0.115625,0.766741071428571,0.319010416666667,0.107291666666667,1.03262867647059,0.4387890625,0.490625,0.40625,1.322265625,2.56901041666667,4.20328125,0.00892857142857143,0.09765625,0
"3816","BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",90,15.7342506262358,0.30162962962963,0,0.0037037037037037,0.201646090534979,0.0333333333333333,0.286666666666667,0.0662433862433862,0.0212962962962963,0.197530864197531,3.61296296296296,0.114814814814815,0.42010582010582,0.0160493827160494,0.0933333333333333,1.20043572984749,0.487962962962963,0.531333333333333,0.401111111111111,0.537037037037037,7.32098765432099,2.50340740740741,0.0134038800705467,0.0907407407407407,0.0287037037037037
"3194","SEAWEED,LAVER,RAW",89,15.5104903252584,0.332,0.0342857142857143,0.2,0.285714285714286,0.0142857142857143,0.165714285714286,0.290612244897959,0.0571428571428571,0.2,0.377142857142857,1.41142857142857,0.0285714285714286,1.85714285714286,0.186666666666667,0.749579831932773,0.21,0.148857142857143,0.227142857142857,1.04285714285714,0,2.97257142857143,0.136054421768707,0,0.142857142857143
"2933","CABBAGE,CHINESE (PE-TSAI),RAW",86,15.0434799562292,0.15,0.3,0.48125,0.107638888888889,0.203125,0.18125,0.425,0.0234375,0.0958333333333333,0.1125,0.59375,0.0535714285714286,2.8125,0.166666666666667,0.183823529411765,0.125,0.065625,0.725,1.234375,0,0.3975,0.0357142857142857,0,3.3515625
"826","CHICKEN,LIVER,ALL CLASSES,RAW",85,14.8587501533257,0.28436974789916,0,0.00672268907563025,0.419701213818861,0.0399159663865546,0.249579831932773,0.0552220888355342,0.024859943977591,0.149579831932773,0.20672268907563,0.107142857142857,0.65546218487395,0.250700280112045,0.170868347338936,0.878892733564014,0.408739495798319,0.523781512605042,0.358403361344538,1.23529411764706,2.32212885154062,1.8618487394958,0.0280112044817927,0,0
"3638","MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",84,14.6362488207825,0.191818181818182,0.236363636363636,0.0136363636363636,0.0782828282828283,0.113636363636364,0.490909090909091,0.472727272727273,0.0170454545454545,0.160606060606061,0.65,0.156818181818182,1.20779220779221,0,0.178787878787879,0.347593582887701,1.02136363636364,0.518181818181818,0.336363636363636,0.318181818181818,0.0378787878787879,0,0.00432900432900433,5.06818181818182,0
