,food,cat,subcat,kalescale,nd,protein,fiber,calcium,iron,magnesium,phosphorous,potassium,sodium,zinc,copper,manganese,selenium,vitc,thiamin,riboflavin,niacin,pantothenicacid,vitb6,folate,vitb12,vita,vite,vitd,vitk
5207,"VEAL,SHLDR,BLADE CHOP,LN & FAT,RAW",meat,redmeat,27,4.755080341,0.252972973,0,0.015540541,0.045795796,0.054054054,0.136486486,0.038223938,0.025619369,0.143243243,0.027027027,0.004054054,0.143822394,0,0.045495495,0.157790143,0.151722973,0.065608108,0.147635135,0.005067568,0.307432432,0,0.00965251,0.101351351,0.010135135
3945,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,SEL,RAW",meat,redmeat,27,4.75315143,0.31125,0,0.015972222,0.068287037,0.020833333,0.148611111,0.056349206,0.016493056,0.185648148,0.01875,0.000694444,0.216269841,0,0.026851852,0.081699346,0.198958333,0.026041667,0.223611111,0.006944444,0.212962963,0.000972222,0.00760582,0.003472222,0.010416667
7373,"BEEF,LOIN,TENDERLOIN RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",meat,redmeat,27,4.749712849,0.281045752,0,0.009150327,0.091503268,0.019607843,0.135947712,0.05210084,0.011982571,0.139869281,0.019934641,0.002287582,0.179271709,0,0.021786492,0.115340254,0.145784314,0.022875817,0.196405229,0.004901961,0.363834423,0.001437908,0.005913477,0.003267974,0.012254902
7120,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,CHOIC,RAW",meat,redmeat,27,4.745249373,0.274605263,0,0.009868421,0.084429825,0.029605263,0.128289474,0.062030075,0.022203947,0.344736842,0.030263158,0.004605263,0.205827068,0,0.030701754,0.073529412,0.134769737,0.044736842,0.116776316,0.004934211,0.358552632,0.000789474,0.006265664,0.006578947,0.012335526
2350,"PAPAYAS,RAW",fruit,,27,4.724591135,0.021860465,0.158139535,0.046511628,0.032299742,0.122093023,0.023255814,0.120930233,0.007751938,0.012403101,0.052325581,0.046511628,0.019933555,2.360465116,0.035658915,0.036935705,0.041511628,0.044418605,0.044186047,0.215116279,0,0.441860465,0.033222591,0,0.075581395
4787,"LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,RAW",vegprotein,legume,27,4.716112242,0.123104478,0.245970149,0.024179104,0.1026534,0.140298507,0.110447761,0.119658849,0.001616915,0.051741294,0.099253731,0.251641791,0.029850746,0,0.114228856,0.038279192,0.025552239,0.037761194,0.04880597,0.298507463,0,0,0.009950249,0,0.022014925
1141,"TURKEY,PART S,ENHANCED,BREAST,MEAT ONLY,RAW",meat,poultry,27,4.712898214,0.396216216,0,0.007207207,0.020520521,0.056306306,0.163063063,0.061003861,0.046546547,0.066066066,0.019369369,0.002252252,0.287001287,0,0.029429429,0.082140964,0.45045045,0.085585586,0.378378378,0.015765766,0.04954955,0.003063063,0.004290004,0.018018018,0
7202,"BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,RAW",meat,redmeat,27,4.70847,0.30472973,0,0.003378378,0.067567568,0.038851351,0.108108108,0.057335907,0.015484234,0.257657658,0.028378378,0.027702703,0.260617761,0,0.045045045,0.103338633,0.188513514,0.035810811,0.151689189,0.006756757,0.197072072,0.001081081,0.003217503,0.005067568,0.012668919
4480,"EEL,MIXED SPECIES,RAW",meat,seafood,27,4.696044819,0.200434783,0,0.010869565,0.015096618,0.027173913,0.117391304,0.042236025,0.011548913,0.058695652,0.00625,0.00951087,0.050465839,0.016304348,0.054347826,0.012787724,0.095108696,0.013043478,0.018206522,0.020380435,0.27173913,0.377934783,0.103519669,1.266304348,0
4728,"BEANS,BLACK,MATURE SEEDS,RAW",vegprotein,legume,27,4.686608025,0.126686217,0.181818182,0.036070381,0.081785598,0.125366569,0.103225806,0.124256389,0.000610948,0.071358749,0.123313783,0.15542522,0.013405949,0,0.175953079,0.033293083,0.028665689,0.026363636,0.041935484,0.325513196,0,0.000997067,0.002932551,0,0.020527859
